종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"067630","HLB생명과학","KOSDAQ","제약","9130","60","0.66","929554981630"
"024850","HLB이노베이션","KOSDAQ","반도체","2355","15","0.64","156624529005"
"047920","HLB제약","KOSDAQ","기타서비스","12200","50","0.41","367729081600"
"115450","HLB테라퓨틱스","KOSDAQ","유통","3605","15","0.42","264272441580"
"046210","HLB파나진","KOSDAQ","의료·정밀기기","3405","0","0.00","139620414435"
"403870","HPSP","KOSDAQ","반도체","37200","150","0.40","3019114800000"
"036640","HRS","KOSDAQ","화학","5180","30","0.58","84717864000"
"426550","IBKS제19호스팩","KOSDAQ","금융","2295","5","0.22","11658600000"
"439730","IBKS제20호스팩","KOSDAQ","금융","2270","-10","-0.44","9783700000"
"442770","IBKS제21호스팩","KOSDAQ","금융","2210","0","0.00","9304100000"
"448760","IBKS제22호스팩","KOSDAQ","금융","2195","-10","-0.45","9723850000"
"095340","ISC","KOSDAQ","반도체","88600","-2600","-2.85","1878059338800"
"099520","ITX-AI","KOSDAQ","통신장비","1284","0","0.00","58141862016"
"950170","JTC","KOSDAQ","유통","3900","25","0.65","196125629700"
"067290","JW신약","KOSDAQ","제약","2460","15","0.61","119130855420"
"035900","JYP Ent.","KOSDAQ","오락·문화","92400","2100","2.33","3281816260800"
"318000","KBG","KOSDAQ","화학","8320","320","4.00","72718655360"
"024840","KBI메탈","KOSDAQ","금속","1411","24","1.73","47907024063"
"024120","KB오토시스","KOSDAQ","운송장비·부품","4555","30","0.66","52382500000"
"455250","KB제25호스팩","KOSDAQ","금융","2035","-20","-0.97","8760675000"
"458320","KB제26호스팩","KOSDAQ","금융","1996","1","0.05","10987980000"
"464680","KB제27호스팩","KOSDAQ","금융","1842","-3","-0.16","23771010000"
"021320","KCC건설","KOSDAQ","건설","5550","0","0.00","118770000000"
"036670","KCI","KOSDAQ","화학","6960","0","0.00","78439200000"
"044180","KD","KOSDAQ","건설","724","6","0.84","19343686476"
"151860","KG ETS","KOSDAQ","화학","11560","380","3.40","416160000000"
"046440","KG모빌리언스","KOSDAQ","소프트웨어","5200","40","0.78","201892953600"
"035600","KG이니시스","KOSDAQ","소프트웨어","11400","40","0.35","318110547600"
"226360","KH 건설","KOSDAQ","건설","319","0","0.00","49825827623"
"111870","KH 전자","KOSDAQ","일반전기전자","2970","0","0.00","34721242380"
"060720","KH바텍","KOSDAQ","IT부품","15550","40","0.26","368184223100"
"058400","KNN","KOSDAQ","방송서비스","1103","8","0.73","146069981160"
